State,Year,Region_Type,Is_Coastal,Time_Trend_Index,Decade,Post_Liberalization,Post_2000_Infrastructure_Acceleration,Post_2010_Climate_Risk_Intensification,GDP_Growth_Rate,GSDP_Constant_Price,GSDP_Current_Price,Per_Capita_Income,Industrial_Output_Index,Services_Share,Agriculture_Share,Manufacturing_Share,Trade_Connectivity_Index,Export_Intensity,Tourism_Revenue_Index,FDI_Attractiveness_Index,Road_Density,Rail_Density,Port_Access_Index,Logistics_Connectivity_Index,Urbanization_Rate,Electricity_Access_Rate,Internet_Penetration_Rate,Infrastructure_Composite_Index,Literacy_Rate,Higher_Education_Enrollment,Health_Index,Labor_Force_Participation,Unemployment_Rate,Flood_Risk_Index,Cyclone_Exposure_Index,Drought_Risk_Index,Heat_Stress_Index,Coastal_Erosion_Risk,Land_Submergence_Risk_Index,Sea_Level_Rise_Exposure,Annual_Disaster_Loss_Rate,Climate_Vulnerability_Index,Ease_of_Doing_Business_Proxy,Policy_Reform_Index,Public_Capital_Expenditure_Index,GDP_Growth_Smoothed_3Y,Economic_Resilience_Index,Economic_Resilience_Class,Coastal_Trade_Interaction,Coastal_Climate_Interaction
Andhra Pradesh,1980,Coastal,1,1,1980s,0,0,0,6.72,14500.0,15323.48,5000.0,68.6,46.68,30.07,24.25,60.18,31.95,23.99,43.32,66.14,47.54,72.22,60.59,40.45,61.86,2.36,58.84,60.11,19.43,58.13,54.79,6.55,44.74,43.27,35.08,29.9,30.09,27.87,28.83,2.24,36.34,44.69,31.98,35.04,6.72,19.7,Low,60.18,36.34
Andhra Pradesh,1981,Coastal,1,2,1980s,0,0,0,6.82,15488.48,16372.97,5000.0,63.87,46.55,26.45,23.22,54.36,32.19,23.22,39.75,62.95,47.54,73.09,60.08,45.66,64.55,0.07,59.59,61.15,19.74,61.13,55.53,6.82,43.4,42.62,34.78,28.24,29.47,24.81,29.88,2.31,35.37,46.16,27.68,36.7,6.77,18.99,Low,54.36,35.37
Andhra Pradesh,1982,Coastal,1,3,1980s,0,0,0,5.5,16340.85,17454.06,5000.0,68.11,45.6,28.65,23.23,56.11,31.86,24.21,40.07,61.45,46.91,72.38,58.08,41.77,66.37,0.82,58.41,64.19,17.82,55.05,54.84,7.71,41.58,38.22,35.71,29.68,24.63,26.4,35.21,2.1,34.51,44.9,29.31,34.73,6.346666666666667,17.89,Low,56.11,34.51
Andhra Pradesh,1983,Coastal,1,4,1980s,0,0,0,5.82,17291.8,18169.13,5000.0,59.67,46.9,27.83,22.26,56.61,35.29,25.69,39.5,66.11,49.27,73.53,56.58,44.32,66.61,0.62,59.96,63.29,17.29,56.01,54.32,6.87,42.35,37.74,32.68,27.23,30.91,27.46,31.61,2.33,34.37,43.66,30.95,33.98,6.046666666666667,17.99,Low,56.61,34.37
Andhra Pradesh,1984,Coastal,1,5,1980s,0,0,0,7.01,18503.77,19350.0,5000.0,67.95,46.51,26.21,22.81,58.25,31.43,25.62,38.56,66.89,42.24,71.34,62.58,44.51,63.85,1.44,59.4,60.91,18.69,57.14,57.42,7.11,39.75,44.27,33.86,26.29,27.73,28.67,31.39,1.91,34.66,50.25,29.01,40.67,6.11,20.78,Low,58.25,34.66
Andhra Pradesh,1985,Coastal,1,6,1980s,0,0,0,6.59,19722.86,20816.0,5000.0,69.1,45.64,23.17,23.76,60.05,32.12,24.46,43.9,63.62,44.5,74.83,59.66,40.97,67.78,1.78,59.29,62.34,21.64,58.32,54.5,5.79,44.41,45.19,30.65,26.8,28.18,27.58,29.75,2.36,35.38,48.77,30.95,34.5,6.473333333333334,19.77,Low,60.05,35.38
Andhra Pradesh,1986,Coastal,1,7,1980s,0,0,0,5.59,20824.39,22010.63,5000.0,68.89,47.66,26.03,25.64,63.67,31.23,27.45,40.82,63.31,42.95,72.84,57.37,44.9,65.17,0.1,58.46,61.93,20.8,56.77,52.37,7.72,42.01,43.43,33.09,30.02,32.42,26.7,30.73,2.36,35.79,48.5,29.51,41.18,6.396666666666667,21.23,Low,63.67,35.79
Andhra Pradesh,1987,Coastal,1,8,1980s,0,0,0,4.87,21838.18,23205.52,5000.0,66.86,45.48,25.55,26.21,60.69,33.28,25.19,41.87,66.35,48.49,72.91,60.61,46.82,65.8,1.34,60.78,58.87,21.73,61.65,55.0,6.96,44.22,44.13,35.47,29.24,29.88,29.54,28.88,2.27,36.46,50.55,31.83,39.49,5.683333333333333,20.71,Low,60.69,36.46
Andhra Pradesh,1988,Coastal,1,9,1980s,0,0,0,5.93,23132.3,24658.57,5000.0,65.43,47.94,23.95,23.44,55.43,35.75,24.94,41.43,64.49,44.47,71.05,58.01,44.88,68.99,0.0,59.29,67.13,22.91,62.28,53.96,8.87,43.16,41.22,32.98,31.19,30.87,26.37,30.81,2.32,35.61,49.71,29.09,35.93,5.463333333333334,17.96,Low,55.43,35.61
Andhra Pradesh,1989,Coastal,1,10,1980s,0,0,0,6.82,24710.18,26100.3,5000.0,73.02,45.36,24.26,24.33,63.22,33.33,24.15,42.44,63.69,44.26,72.04,64.37,47.09,68.92,0.5,60.77,64.66,22.14,61.58,54.24,8.23,43.65,39.32,31.42,26.31,33.65,29.05,30.22,2.15,35.01,47.41,32.97,36.62,5.873333333333332,22.02,Low,63.22,35.01
